epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,5579.94,0.8112,0.68793,1.33001,0.87698,0.83026,0.87862,0.55652,1.22908,0.79898,1.83334,0.0009308,0.0009308,0.0009308
83,5647.39,0.81035,0.70305,1.33253,0.89622,0.82857,0.87982,0.56809,1.20123,0.7989,1.80392,0.0009176,0.0009176,0.0009176
84,5713.71,0.80582,0.6924,1.32409,0.88435,0.83395,0.86737,0.55176,1.21731,0.82125,1.8213,0.0009044,0.0009044,0.0009044
85,5781.18,0.81363,0.68994,1.33197,0.90019,0.80812,0.87798,0.56882,1.15942,0.81972,1.7663,0.0008912,0.0008912,0.0008912
86,5848.5,0.80137,0.68326,1.32341,0.86987,0.83764,0.87134,0.56549,1.17937,0.8038,1.7864,0.000878,0.000878,0.000878
87,5914.61,0.80634,0.6805,1.32625,0.88114,0.82657,0.86892,0.56737,1.18463,0.8173,1.7759,0.0008648,0.0008648,0.0008648
88,5983.67,0.80921,0.68668,1.32906,0.86045,0.79336,0.8569,0.53867,1.22869,0.83249,1.80579,0.0008516,0.0008516,0.0008516
89,6053.81,0.79674,0.67343,1.31664,0.87397,0.82288,0.85844,0.54817,1.19049,0.81532,1.7913,0.0008384,0.0008384,0.0008384
90,6122.85,0.80351,0.67844,1.31799,0.82895,0.85836,0.86136,0.54903,1.24052,0.80644,1.8254,0.0008252,0.0008252,0.0008252
91,6190.9,0.80129,0.68022,1.32031,0.8817,0.82506,0.86385,0.55835,1.19576,0.79041,1.79503,0.000812,0.000812,0.000812
92,6259.36,0.78018,0.65972,1.31079,0.88238,0.82657,0.8832,0.55959,1.20336,0.77763,1.80484,0.0007988,0.0007988,0.0007988
93,6327.56,0.80373,0.68048,1.32577,0.85098,0.84291,0.87317,0.55189,1.22717,0.78296,1.81933,0.0007856,0.0007856,0.0007856
94,6396.14,0.77683,0.66142,1.30325,0.83557,0.81919,0.85826,0.53541,1.22982,0.82677,1.81455,0.0007724,0.0007724,0.0007724
95,6464.85,0.78135,0.64843,1.3056,0.88776,0.78805,0.85952,0.54523,1.25221,0.81754,1.84405,0.0007592,0.0007592,0.0007592
96,6532.84,0.78455,0.66217,1.31032,0.86292,0.81299,0.86275,0.55144,1.21465,0.80095,1.82429,0.000746,0.000746,0.000746
97,6600.92,0.78008,0.66158,1.30973,0.8991,0.78914,0.84934,0.54474,1.20714,0.78206,1.81327,0.0007328,0.0007328,0.0007328
98,6670.26,0.78357,0.65855,1.30963,0.88639,0.80612,0.85935,0.54817,1.23347,0.82428,1.82886,0.0007196,0.0007196,0.0007196
99,6739.03,0.78141,0.6482,1.31245,0.86249,0.83319,0.86687,0.55459,1.22727,0.80352,1.82506,0.0007064,0.0007064,0.0007064
100,6807.91,0.76125,0.64754,1.29375,0.88597,0.80074,0.86586,0.55314,1.22772,0.77046,1.83853,0.0006932,0.0006932,0.0006932
101,6876.66,0.76794,0.6345,1.30318,0.87788,0.82233,0.86827,0.55993,1.20862,0.79468,1.81013,0.00068,0.00068,0.00068
102,6945.83,0.75825,0.62452,1.29088,0.86196,0.85254,0.87039,0.56428,1.19993,0.76219,1.8028,0.0006668,0.0006668,0.0006668
103,7016.41,0.77811,0.65121,1.29649,0.85488,0.84777,0.86821,0.55517,1.1966,0.78483,1.80099,0.0006536,0.0006536,0.0006536
104,7085.78,0.76022,0.63275,1.29413,0.88397,0.81526,0.86041,0.55587,1.20746,0.80536,1.79405,0.0006404,0.0006404,0.0006404
105,7155.17,0.76163,0.64046,1.29008,0.85025,0.85903,0.87636,0.5476,1.23821,0.83116,1.82576,0.0006272,0.0006272,0.0006272
106,7224.71,0.76533,0.63755,1.28893,0.89327,0.80298,0.87842,0.5531,1.23509,0.79557,1.83262,0.000614,0.000614,0.000614
107,7292.72,0.76312,0.62731,1.29348,0.8777,0.8155,0.87714,0.5544,1.23858,0.7948,1.85151,0.0006008,0.0006008,0.0006008
108,7361.02,0.73611,0.6209,1.27466,0.88679,0.83026,0.8854,0.56434,1.22528,0.78604,1.82483,0.0005876,0.0005876,0.0005876
109,7430.53,0.75018,0.61131,1.28688,0.83621,0.84502,0.87007,0.55853,1.23644,0.79364,1.82809,0.0005744,0.0005744,0.0005744
110,7500.74,0.75549,0.63122,1.28284,0.85636,0.83597,0.86974,0.55539,1.26773,0.8087,1.86785,0.0005612,0.0005612,0.0005612
111,7570.98,0.73952,0.61021,1.27563,0.85053,0.83988,0.86837,0.55857,1.2407,0.81452,1.83888,0.000548,0.000548,0.000548
112,7640.98,0.73837,0.6133,1.27443,0.84515,0.84584,0.87979,0.5619,1.2595,0.7951,1.85449,0.0005348,0.0005348,0.0005348
113,7711.04,0.74083,0.60727,1.27532,0.86183,0.8286,0.87048,0.5635,1.23213,0.80923,1.83313,0.0005216,0.0005216,0.0005216
114,7781.24,0.74143,0.60061,1.27916,0.87405,0.81919,0.86073,0.56589,1.23169,0.78002,1.84476,0.0005084,0.0005084,0.0005084
